,Butler,UConn,Creighton,DePaul,Georgetown,Marquette,Providence,St. Johns,Seton Hall,Villanova,Xavier
Butler,0,1393824,974803,286381,923404,434241,1477696,1152479,1132441,1024028,191114
UConn,1389581,0,2199426,1470489,595338,1618349,82017,221305,239291,387052,1270356
Creighton,977323,2202821,0,757787,1845396,819517,2286693,2002105,1984504,1931896,1159668
DePaul,287335,1471315,754735,0,1113890,151934,1555187,1270599,1252999,1200390,471998
Georgetown,923961,592257,1842301,1113364,0,1261224,662297,375499,358325,229219,798585
Marquette,444820,1619406,815239,151996,1261981,0,1703278,1418690,1401089,1348481,629483
Providence,1473026,81364,2282871,1553934,662619,1701794,0,291119,307221,454983,1322596
St. Johns,1150137,221005,1999357,1270420,377423,1418280,290422,0,22612,169786,1024761
Seton Hall,1129757,238906,1980938,1252001,359899,1399862,308946,22148,0,152275,1004381
Villanova,1023774,385528,1930252,1201315,230005,1349176,455569,168770,151596,0,898398
Xavier,193006,1273165,1160667,473674,796638,621534,1357037,1025713,1005675,897262,0
